title;year;rate;country;category;director
Красный призрак;2020;7.1;Россия;триллер, военный, история;Андрей Богатырев
Омерзительная восьмерка;2015;7.9;США;вестерн, криминал, триллер, драма, детектив;Квентин Тарантино
Зверополис;2016;8.3;США;мультфильм, комедия, криминал, детектив, приключения, семейный;Байрон Ховард, Рич Мур, Джаред Буш
Ford против Ferrari;2019;8.2;США;биография, спорт, драма, боевик;Джеймс Мэнголд
Дьяволик;2021;7.2;Италия;боевик, триллер, криминал, детектив;Антонио Манетти, Марко Манетти
Грязь;2013;7.6;Великобритания, Германия, Швеция, Бельгия, США;криминал, комедия, драма;Джон С. Бейрд
Реальная любовь;2003;7.9;Великобритания, Франция, США;мелодрама, комедия, драма;Ричард Кёртис
Большой баг;2022;5.8;Франция;комедия, фантастика;Жан-Пьер Жёне
Чернобыль;2020;4.9;Россия;драма, история;Данила Козловский
Ледниковый период: Приключения Бака;2022;4.9;США, Канада;мультфильм, комедия, приключения, семейный;Джон С. Донкин
Хороший год;2006;7.7;США, Великобритания;драма, мелодрама, комедия;Ридли Скотт
Стрингер;2013;7.4;США;триллер, драма, криминал;Дэн Гилрой
Волк и лев;2021;8.0;Франция, Канада;семейный;Жиль де Мэтр
Из машины;2014;7.1;Великобритания;фантастика, триллер, драма;Алекс Гарленд
Хэнкок;2008;7.4;США;фантастика, боевик, драма, комедия;Питер Берг
Красное уведомление;2021;6.5;США;боевик, комедия, криминал;Роусон Маршалл Тёрбер
Сумерки;2008;6.7;США;фэнтези, драма, мелодрама;Кэтрин Хардвик
Мавританец;2020;7.4;Великобритания, США;биография, драма, триллер;Кевин Макдональд
После прочтения сжечь;2008;6.9;США, Великобритания, Франция;драма, комедия, криминал, триллер;Итан Коэн, Джоэл Коэн
Бэтмен: Начало;2005;7.9;Великобритания, США;боевик, фантастика, приключения, драма;Кристофер Нолан
На игле;1995;7.9;Великобритания;драма, криминал;Дэнни Бойл
Гравитация;2013;7.5;США, Мексика, Великобритания;фантастика, боевик, триллер, драма;Альфонсо Куарон
Начало;2010;8.7;США, Великобритания;фантастика, боевик, триллер, драма, детектив;Кристофер Нолан
Король говорит!;2010;8.0;Великобритания, США;драма, биография, история;Том Хупер
«V» значит Вендетта;2006;7.8;Великобритания, Германия;фантастика, боевик, триллер, драма;Джеймс МакТиг
Аватар;2009;7.9;США, Великобритания;фантастика, боевик, драма, приключения;Джеймс Кэмерон
Сердце дракона;1996;7.7;США;фэнтези, боевик, приключения;Роб Коэн
Непрощённая;2021;7.3;Великобритания, Германия, США;драма, криминал;Нора Финшелдт
Проект «Адам»;2022;6.5;США;фантастика, боевик, комедия, приключения;Шон Леви
Храброе сердце;1995;8.3;США;история, биография, драма, военный;Мэл Гибсон
Хоббит: Нежданное путешествие;2012;8.1;Новая Зеландия, США;фэнтези, приключения, боевик;Питер Джексон
Твоё имя;2016;8.4;Япония;аниме, мультфильм, фэнтези, драма, мелодрама;Макото Синкай
Варяг;2022;7.2;США;фэнтези, боевик, триллер, драма, приключения, история;Роберт Эггерс
Философы: Урок выживания;2013;5.8;США, Индонезия;драма, фэнтези, история;Джон Хаддлс
Джон Уик;2014;6.9;США, Китай;боевик, триллер, криминал;Чад Стахелски, Дэвид Литч
Взвод;1986;8.0;США, Великобритания;военный, история, драма;Оливер Стоун
Дикие истории;2014;7.7;Аргентина, Испания, Франция, Великобритания;триллер, драма, комедия;Дамиан Сифрон
Последнее пришествие дьявола;2021;5.2;Мексика, Венесуэла, США;ужасы, драма;Алехандро Идальго
Фантастическая четверка;2005;6.7;США, Германия;фантастика, фэнтези, боевик, приключения;Тим Стори
Последний самурай;2003;8.1;США, Новая Зеландия, Япония;боевик, драма;Эдвард Цвик
Лекарь: Ученик Авиценны;2013;7.7;Германия;приключения, история, драма;Филипп Штёльцль
Игра в имитацию;2014;7.6;Великобритания, США;триллер, драма, военный, биография;Мортен Тильдум
Сплит;2017;7.0;США, Япония;триллер, ужасы;М. Найт Шьямалан
Парни под прикрытием;2022;4.2;США, Пуэрто Рико;боевик, триллер;Марк Невелдайн
Иллюзия контроля;2021;6.6;Великобритания, Украина, Германия;триллер, драма;Владэк Занковски
Подмена;2008;7.9;США;триллер, драма, криминал, детектив, биография, история;Клинт Иствуд
Меняющие реальность;2011;7.4;США;фантастика, триллер, мелодрама;Джордж Нолфи
Невидимый гость;2016;7.8;Испания;триллер, драма, криминал, детектив;Ориол Паоло
Назови меня своим именем;2017;7.5;Италия, Франция, США, Бразилия;драма, мелодрама;Лука Гуаданьино
Война будущего;2021;6.3;США;фантастика, боевик;Крис МакКей
Семейка Аддамс: Горящий тур;2021;5.8;США, Канада;мультфильм, ужасы, фэнтези, комедия, приключения, семейный;Грег Тирнан, Конрад Вернон, Лаура Бруссо
Ван Хельсинг;2004;7.6;США, Чехия, Румыния;фэнтези, боевик, триллер, приключения;Стивен Соммерс
Джуманджи: Зов джунглей;2017;6.9;США, Индия, Канада, Великобритания, Австралия, Германия;фэнтези, боевик, комедия, приключения;Джейк Кэздан
Турист;2021;7.0;Россия;боевик;Андрей Батов
Луна 2112;2009;7.6;Великобритания, США;фантастика, драма, детектив;Дункан Джонс
Люди Икс: Первый класс;2011;7.7;США, Великобритания;фантастика, боевик, приключения;Мэттью Вон
Помни;2000;7.9;США;триллер, детектив, драма, криминал;Кристофер Нолан
Поймай меня, если сможешь;2002;8.5;США, Канада;криминал, биография, комедия;Стивен Спилберг
Трагедия Макбета;2021;7.1;США;драма, фэнтези;Джоэл Коэн
Славные парни;1990;8.1;США;драма, криминал, биография;Мартин Скорсезе
Невидимка;2000;6.9;США, Германия;ужасы, фантастика;Пол Верховен
Новые мутанты;2020;5.6;США;фантастика, боевик, детектив, ужасы;Джош Бун
Груз 200;2007;6.6;Россия;триллер, драма;Алексей Балабанов
ДМБ;2000;7.8;Россия;комедия;Роман Качанов
Полный расколбас;2016;5.9;США, Канада;мультфильм, фэнтези, комедия, приключения;Грег Тирнан, Конрад Вернон
Хочу съесть твою поджелудочную железу;2018;7.8;Япония;аниме, мультфильм, драма, мелодрама;Синъитиро Усидзима
2012;2009;6.9;США;фантастика, приключения, боевик;Роланд Эммерих
Коралина в Стране Кошмаров;2008;7.7;США;мультфильм, фэнтези, триллер, драма, семейный;Генри Селик
Сквозь снег;2013;6.8;Корея Южная, Чехия;фантастика, боевик, драма;Пон Джун-хо
Плутовство;1997;7.6;США;драма, комедия;Барри Левинсон
Однажды в пустыне;2022;6.6;Россия;военный;Андрей Кравчук
Глубокие воды;2022;5.6;США, Австралия;триллер, драма, детектив;Эдриан Лайн
Яйцо Фаберже;2021;5.6;Россия;комедия, приключения;Илья Фарфель
Маленькие женщины;2019;7.7;США;драма, мелодрама;Грета Гервиг
Код 355;2022;5.6;США, Китай;триллер, боевик;Саймон Кинберг
Охотники за привидениями;1984;8.0;США;фантастика, фэнтези, боевик, комедия;Айвен Райтман
8 подруг Оушена;2018;6.6;США;боевик, триллер, комедия, криминал;Гэри Росс
Скотт Пилигрим против всех;2010;7.2;США, Великобритания, Канада, Япония;фэнтези, боевик, мелодрама, комедия;Эдгар Райт
Знакомьтесь, Джо Блэк;1998;8.0;США;мелодрама, фэнтези, драма;Мартин Брест
Драйв;2011;7.3;США;криминал, драма, триллер, фильм-нуар;Николас Виндинг Рефн
Невозможное;2012;7.9;Испания, Таиланд, США;драма;Хуан Антонио Байона
Живая сталь;2011;7.6;США, Индия;фантастика, боевик, семейный;Шон Леви
Джуманджи: Новый уровень;2019;6.6;США;фэнтези, боевик, комедия, приключения;Джейк Кэздан
Аферистка;2020;6.6;США, Великобритания;триллер, комедия, криминал;Дж. Блэйксон
По наклонной;2020;6.9;США;драма, криминал;Энтони Руссо, Джо Руссо
Девятаев;2021;6.3;Россия;военный, биография, боевик, история, драма;Тимур Бекмамбетов, Сергей Трофимов
Пианино;1992;7.8;Австралия, Новая Зеландия, Франция;драма, мелодрама, музыка;Джейн Кэмпион
Взаперти;2022;5.3;США;триллер;Ди Джей Карузо
Законопослушный гражданин;2009;8.0;США;боевик, триллер, драма, криминал;Ф. Гэри Грей
Темный рыцарь;2008;8.5;США, Великобритания;фантастика, боевик, триллер, криминал, драма;Кристофер Нолан
Чёрный краб;2022;5.9;Швеция;фантастика, боевик, триллер, драма, приключения, военный;Адам Берг
12 лет рабства;2013;7.7;США, Великобритания;драма, биография, история;Стив МакКуин
Мотылёк;2017;7.5;США, Чехия, Испания;драма, криминал, приключения, биография;Михаэль Ноер
Шестое чувство;1999;8.2;США;детектив, фэнтези, фантастика, триллер, драма;М. Найт Шьямалан
Атака титанов. Фильм первый: Жестокий мир;2015;4.5;Япония;фантастика, драма, боевик;Синдзи Хигути
Гарри Хафт: Последний бой;2021;6.9;Канада, Венгрия, США;драма, биография;Барри Левинсон
Мстители: Финал;2019;7.7;США;фантастика, боевик, драма, приключения;Энтони Руссо, Джо Руссо
1917;2019;7.9;США, Великобритания, Индия, Испания, Канада, Китай;военный, боевик, драма, история;Сэм Мендес
Календарь дьявола;2020;5.8;Франция, Бельгия;ужасы;Патрик Ридремон
Остров фантазий;2020;5.6;США;триллер, фантастика;Джефф Уодлоу
Горбатая гора;2005;7.6;США, Канада;вестерн, мелодрама, драма;Энг Ли
Пятьдесят оттенков серого;2015;4.4;США;мелодрама;Сэм Тейлор-Джонсон
Области тьмы;2011;8.0;США, Мексика;триллер, драма, фантастика;Нил Бёргер
Большая игра;2017;7.6;США, Канада, Китай;биография, криминал, драма;Аарон Соркин
Парни со стволами;2016;6.9;США, Румыния;драма, комедия, криминал, военный, биография;Тодд Филлипс
Исчезнувшая;2014;8.0;США;триллер, драма, детектив;Дэвид Финчер
Трансформеры: Последний рыцарь;2017;5.6;США, Китай, Канада, Мексика;фантастика, боевик, приключения;Майкл Бэй
Астрал;2010;6.8;США;ужасы, триллер;Джеймс Ван
Невыносимая тяжесть огромного таланта;2022;7.2;США;боевик, комедия, криминал;Том Гормикэн
Треугольник;2009;6.8;Великобритания, Австралия;фантастика, триллер;Кристофер Смит
Проект X: Дорвались;2012;7.0;США;комедия;Нима Нуризаде
Славные парни;2016;7.2;США, Великобритания;криминал, комедия, боевик;Шейн Блэк
Последняя дуэль;2021;7.4;Великобритания, США;история, драма;Ридли Скотт
Зодиак;2007;7.3;США;триллер, детектив, драма, криминал;Дэвид Финчер
Человек на Луне;2018;7.1;США, Япония;драма, биография, история;Дэмьен Шазелл
Во всё тяжкое;2018;7.0;США;драма, комедия;Уэйн Робертс
Мажор. Фильм;2021;6.5;Россия;боевик, комедия;Максим Полинский, Николай Булыгин
Один день;2011;7.8;США, Великобритания;драма, мелодрама;Лоне Шерфиг
Первобытный страх;1996;7.8;США;триллер, драма, криминал, детектив;Грегори Хоблит
Выживший;2015;7.8;США, Гонконг, Тайвань;приключения, вестерн, боевик, драма, биография;Алехандро Гонсалес Иньярриту
Шан-Чи и легенда десяти колец;2021;7.3;США;фэнтези, боевик, комедия, приключения, фантастика;Дестин Дэниел Креттон
Вестсайдская история;2021;7.0;США;мюзикл, драма, мелодрама, криминал;Стивен Спилберг
Дневник памяти;2004;8.2;США;драма, мелодрама;Ник Кассаветис
Евротур;2004;7.6;США;комедия;Джефф Шаффер, Алек Берг, Дэвид Мэндел
Большой красный пес Клиффорд;2021;6.5;США, Канада;фэнтези, комедия, приключения, семейный;Уолт Бекер
Красные огни;2011;6.9;Испания, Канада;фэнтези, драма, детектив;Родриго Кортес
Тело;2012;7.3;Испания;триллер, детектив, криминал;Ориол Паоло
Леон;1994;8.7;Франция, США;боевик, триллер, драма, криминал;Люк Бессон
Легенда о Зелёном Рыцаре;2020;6.2;Ирландия, Канада, США, Великобритания;фэнтези, приключения, драма;Дэвид Лоури
Юморист;2018;6.6;Россия, Латвия, Чехия;драма, биография;Михаил Идов
Зов предков;2020;7.5;США, Канада;драма, приключения, семейный;Крис Сандерс
Список Шиндлера;1993;8.8;США;драма, биография, история, военный;Стивен Спилберг
БУМЕРанг;2021;5.7;Россия;комедия, криминал;Пётр Буслов
Таксист;1976;7.8;США;триллер, драма, криминал;Мартин Скорсезе
Лобстер;2015;7.0;Ирландия, Великобритания, Греция, Франция, Нидерланды, США;фантастика, триллер, драма, мелодрама, комедия;Йоргос Лантимос
Том и Джерри;2021;6.8;США, Великобритания, Франция, Германия;комедия, приключения, семейный;Тим Стори
Аритмия;2017;7.7;Россия;мелодрама, драма;Борис Хлебников
Форма воды;2017;6.9;США, Мексика;фантастика, драма;Гильермо дель Торо
Лига справедливости Зака Снайдера;2021;7.9;США;фантастика, боевик, фэнтези;Зак Снайдер
Лекарство от здоровья;2017;6.4;США, Германия;триллер, фантастика, ужасы, драма, фэнтези, детектив;Гор Вербински
Непосредственно Каха!;2020;4.3;Россия;комедия;Виктор Шамиров
Kingsman: Золотое кольцо;2017;6.9;Великобритания, США;боевик, триллер, комедия, криминал, приключения;Мэттью Вон
Секс по дружбе;2011;7.1;США;мелодрама, комедия, драма;Уилл Глак
Паранормальное явление: Ближайший родич;2021;5.3;США;ужасы;Уильям Юбэнк
Небо;2021;7.2;Россия;военный, драма, боевик, биография;Игорь Копылов
Скрытые фигуры;2016;7.8;США;драма, биография, история;Тед Мелфи
Внезапная удача;2022;5.8;США;триллер, драма, криминал;Чарли Макдауэлл
Морбиус;2022;5.3;США;ужасы, фантастика, боевик, фэнтези;Даниэль Эспиноса
Впритык;2010;7.2;США;комедия;Тодд Филлипс
Добро пожаловать в Zомбилэнд;2009;7.4;США;ужасы, комедия, боевик;Рубен Фляйшер
Исходный код;2011;7.8;США, Канада, Франция, Германия;фантастика, боевик, триллер, драма;Дункан Джонс
Монстры на каникулах: Трансформания;2022;6.3;США;мультфильм, фэнтези, комедия, приключения, семейный;Дерек Драймон, Дженнифер Клуска
Амели;2001;8.0;Франция, Германия;мелодрама, комедия;Жан-Пьер Жёне
Лолита;1997;7.6;Франция, США;драма, мелодрама;Эдриан Лайн
Гадкий я;2010;7.8;США, Франция, Япония;мультфильм, фантастика, комедия, криминал, приключения, семейный;Пьер Коффан, Крис Рено
Хижина в лесу;2011;6.7;США;ужасы, комедия, фэнтези;Дрю Годдард
Клаустрофобы 2: Лига выживших;2021;6.0;США, ЮАР;ужасы, боевик;Адам Робител
Три билборда на границе Эббинга, Миссури;2017;8.1;Великобритания, США;драма, криминал;Мартин МакДона
Малыш на драйве;2017;7.2;Великобритания, США;боевик, триллер, драма, криминал, музыка;Эдгар Райт
О чём говорят мужчины;2010;7.8;Россия;комедия;Дмитрий Дьяченко
Дело храбрых;2017;8.0;США;боевик, драма, биография;Джозеф Косински
Фантастические твари и где они обитают;2016;7.6;Великобритания, США;фэнтези, приключения, семейный;Дэвид Йейтс
Топ Ган: Мэверик;2022;7.2;Китай, США;боевик, драма;Джозеф Косински
Борьба со льдом;2022;6.6;Исландия, Дания;биография, драма, история;Петер Флинт
Железный человек 2;2010;7.5;США;фантастика, боевик, приключения;Джон Фавро
Великая стена;2016;6.1;США, Китай, Гонконг, Австралия, Канада;фэнтези, боевик, триллер, приключения;Чжан Имоу
Поездка в Америку 2;2021;5.2;США;комедия;Крэйг Брюэр
Кошачьи миры Луиса Уэйна;2021;7.4;Великобритания;биография, история, драма;Уилл Шарп
1+1;2011;8.8;Франция;драма, комедия, биография;Оливье Накаш, Эрик Толедано
Остров проклятых;2009;8.5;США;триллер, детектив, драма;Мартин Скорсезе
На пятьдесят оттенков темнее;2017;5.2;США, Китай, Япония;драма, мелодрама;Джеймс Фоули
Залечь на дно в Брюгге;2007;7.8;Великобритания, США;комедия, криминал, триллер, драма;Мартин МакДона
Бегущий по лезвию;1982;7.7;США;фантастика, триллер, драма, мелодрама;Ридли Скотт
2001 год: Космическая одиссея;1968;7.9;Великобритания, США;фантастика, приключения;Стэнли Кубрик
Оно 2;2019;6.5;США, Канада;ужасы, фэнтези, драма;Андрес Мускетти
Чужой;1979;8.1;Великобритания, США;ужасы, фантастика, триллер;Ридли Скотт
Гордость и предубеждение и зомби;2015;5.8;США, Великобритания;ужасы, фэнтези, боевик, мелодрама, комедия;Бёрр Стирс
Человек-паук;2002;7.6;США;фантастика, боевик, приключения;Сэм Рэйми
Железная хватка;2010;7.6;США;вестерн, драма, приключения;Итан Коэн, Джоэл Коэн
Тёмная башня;2017;5.7;США;фантастика, фэнтези, боевик, приключения, вестерн;Николай Арсель
Три богатыря и Конь на троне;2021;7.4;Россия;мультфильм, комедия, приключения;Дарина Шмидт, Константин Феоктистов
Джанго освобожденный;2012;8.2;США;вестерн, боевик, драма, комедия;Квентин Тарантино
Тело Дженнифер;2009;5.7;США, Канада;ужасы, комедия;Карин Кусама
Громкая связь;2018;6.8;Россия;комедия;Алексей Нужный
Тихое место 2;2020;6.6;США;ужасы, фантастика, драма;Джон Красински
Тренер Картер;2005;8.1;США, Германия;биография, спорт, драма;Томас Картер
Красавица и дракон;2021;7.3;Япония;аниме, мультфильм, фантастика, драма;Мамору Хосода
Предложение;2009;7.6;США;мелодрама, комедия, драма;Энн Флетчер
Пекло;2007;7.3;Великобритания, США;фантастика, триллер;Дэнни Бойл
Очень страшное кино;2000;7.0;США;комедия, ужасы;Кинен Айвори Уайанс
Ла-Ла Ленд;2016;7.9;США, Гонконг;мюзикл, драма, мелодрама, комедия, музыка;Дэмьен Шазелл
Одиннадцать молчаливых мужчин;2021;6.0;Россия;драма, спорт;Алексей Пиманов
RRR;2022;7.2;Индия;боевик, драма, история;С.С. Раджамули
Кловерфилд, 10;2016;6.9;США;триллер, драма, фантастика;Дэн Трахтенберг
Властелин колец: Братство Кольца;2001;8.6;Новая Зеландия, США;фэнтези, приключения, драма;Питер Джексон
Легион;2010;5.5;США;ужасы, фэнтези, боевик;Скотт Чарльз Стюарт
Донни Дарко;2001;7.6;США;фантастика, триллер, драма, детектив;Ричард Келли
Морфий;2008;7.1;Россия;драма;Алексей Балабанов
Связь;2012;7.0;США, Великобритания;фантастика, триллер, драма;Джеймс Уорд Биркит
Дневник баскетболиста;1995;7.8;США;драма, криминал, биография, спорт;Скотт Кэлверт
Бесславные ублюдки;2009;7.9;Германия, США;боевик, драма, комедия, военный;Квентин Тарантино
Иван Васильевич меняет профессию;1973;8.8;СССР;комедия, фантастика, приключения;Леонид Гайдай
Великий;2020;7.5;Великобритания, США, ОАЭ, Япония;драма, биография;Эндрю Левитас
Крепкий орешек;1988;8.0;США;боевик, триллер, криминал;Джон МакТирнан
12 обезьян;1995;7.8;США;фантастика, триллер, детектив;Терри Гиллиам
Того;2019;8.0;США;драма, приключения, семейный, биография, история;Эриксон Кор
Король Стейтен-Айленда;2020;7.2;США;драма, комедия;Джадд Апатоу
Миллион способов потерять голову;2014;6.2;США;комедия, вестерн;Сет МакФарлейн
Вечное сияние чистого разума;2004;8.0;США;мелодрама, фантастика, драма;Мишель Гондри
Камон Камон;2021;7.7;США;драма;Майк Миллс
Вторжение;2019;5.7;Россия;фантастика, боевик;Фёдор Бондарчук
Поездка;2021;6.7;Норвегия;триллер, комедия;Томми Виркола
Дорога перемен;2008;7.5;США, Великобритания;драма, мелодрама;Сэм Мендес
Шрэк;2001;8.1;США, Япония;мультфильм, фэнтези, комедия, приключения, семейный;Эндрю Адамсон, Вики Дженсон
Цельнометаллическая оболочка;1987;8.0;Великобритания, США;драма, военный;Стэнли Кубрик
Тёмное наследие;2020;6.0;США;триллер, драма, детектив;Вон Стайн
Соври мне правду;2021;4.9;Россия;триллер, драма;Ольга Акатьева
Дюна 2;2023;7.2;США, Канада;фантастика, боевик, драма, приключения;Дени Вильнёв
Tomb Raider: Лара Крофт;2018;6.2;Великобритания, США;фэнтези, боевик, триллер, приключения;Роар Утхауг
Вуайеристы;2021;6.3;США;триллер, драма, детектив;Майкл Мохан
Хоббит: Пустошь Смауга;2013;8.0;Новая Зеландия, США;фэнтези, приключения, боевик;Питер Джексон
Конёк-Горбунок;2021;6.8;Россия;фэнтези, комедия, приключения;Олег Погодин
Майор Гром: Чумной Доктор;2021;7.2;Россия;боевик, криминал, детектив, комедия;Олег Трофим
Заплати другому;2000;8.1;США;драма;Мими Ледер
Стеклоочиститель;2021;7.7;США, Испания;мультфильм, короткометражка, фэнтези, мелодрама;Альберто Мьельго
Побег из Претории;2020;6.7;Великобритания, Австралия, США, ЮАР, Германия;триллер;Фрэнсис Аннан
Всё везде и сразу;2022;8.3;США;фантастика, фэнтези, боевик, комедия, приключения;Дэн Кван, Дэниэл Шайнерт
Форма голоса;2016;8.2;Япония;аниме, мультфильм, драма, мелодрама;Наоко Ямада
Платформа;2019;7.1;Испания;фантастика, триллер, драма;Гальдер Гастелу-Уррутия
Kingsman: Секретная служба;2015;7.7;Великобритания, США;боевик, комедия, криминал, приключения;Мэттью Вон
Третий лишний;2012;6.7;США;комедия;Сет МакФарлейн
Холоп;2019;6.8;Россия;комедия;Клим Шипенко
Железный человек;2008;7.9;США, Канада;фантастика, боевик, приключения;Джон Фавро
Первый мститель;2011;6.7;США;фантастика, боевик, приключения, военный;Джо Джонстон
Сокровище нации;2004;7.7;США;боевик, триллер, детектив, приключения;Джон Тёртлтауб
Чёрный телефон;2021;7.2;США;ужасы;Скотт Дерриксон
Однажды в… Голливуде;2019;7.6;США, Великобритания, Китай;драма, комедия;Квентин Тарантино
Чарли и шоколадная фабрика;2005;7.6;США;мюзикл, фэнтези, комедия, приключения, семейный;Тим Бёртон
Круиз по джунглям;2021;6.8;США;приключения, комедия, фэнтези;Жауме Кольет-Серра
Чудо;2017;8.0;США, Гонконг, Канада;драма, семейный;Стивен Чбоски
ВАЛЛ·И;2008;8.3;США;мультфильм, фантастика, приключения, семейный;Эндрю Стэнтон
300 спартанцев;2007;7.6;США, Канада, Болгария, Австралия;боевик, драма;Зак Снайдер
Её заветное желание;2020;8.0;Япония;аниме, мультфильм, мелодрама, драма;Котаро Тамура
Одаренная;2017;7.8;США;драма;Марк Уэбб
Человек-паук: Через вселенные 2;2022;7.2;США;мультфильм, фантастика, фэнтези, боевик, комедия, приключения, семейный;Жоаким Душ Сантуш, Кемп Пауэрс, Джастин Томпсон
Петля времени;2012;7.0;США, Китай;фантастика, боевик, триллер, драма;Райан Джонсон
В диких условиях;2007;7.9;США;драма, приключения, биография;Шон Пенн
Как приручить дракона 3;2019;7.7;США, Япония;мультфильм, фэнтези, боевик, драма, мелодрама, комедия, приключения, семейный;Дин ДеБлуа
Стальной гигант;1999;8.1;США;мультфильм, фантастика, боевик, комедия, приключения, семейный;Брэд Бёрд
Я — начало;2014;7.6;США;фантастика, драма, мелодрама, детектив;Майк Кэхилл
Война миров;2005;7.1;США;фантастика, боевик, приключения;Стивен Спилберг
